Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus,Tahun,Indeks Pembangunan Manusia,Rata-rata Lama Sekolah
SUMATERA UTARA,5.57,5.39,74.72,70.37,2019,71.74,9.45
SUMATERA BARAT,5.38,5.38,70.62,67.88,2019,72.39,8.92
RIAU,5.36,5.76,68.32,64.94,2019,73,9.03
JAMBI,3.52,4.06,67.41,65.79,2019,71.26,8.45
SUMATERA SELATAN,4.02,4.53,71.21,67.67,2019,70.02,8.18
BENGKULU,2.41,3.26,72.4,70.09,2019,71.21,8.73
LAMPUNG,3.95,4.03,72.09,69.06,2019,69.57,7.92
KEP. BANGKA BELITUNG,3.32,3.58,67.53,67.1,2019,71.3,7.98
KEP. RIAU,7.02,7.5,67.91,64.69,2019,75.48,9.99
DKI JAKARTA,5.5,6.54,67.64,63.9,2019,80.76,11.06
JAWA BARAT,7.78,8.04,65.61,64.99,2019,72.03,8.37
JAWA TENGAH,4.19,4.44,70.45,68.85,2019,71.73,7.53
DI YOGYAKARTA,2.89,3.18,72.92,72.72,2019,79.99,9.38
JAWA TIMUR,3.77,3.82,70.2,69.61,2019,71.5,7.59
BANTEN,7.55,8.11,65.49,63.83,2019,72.44,8.74
BALI,1.22,1.57,76.47,73.77,2019,75.38,8.84
NUSA TENGGARA BARAT,3.15,3.28,70.37,69.47,2019,68.14,7.27
NUSA TENGGARA TIMUR,2.98,3.14,72.59,70.34,2019,65.23,7.55
KALIMANTAN BARAT,4.06,4.35,71.69,68.51,2019,67.65,7.31
KALIMANTAN TENGAH,3.21,4.04,71.94,69.29,2019,70.91,8.51
KALIMANTAN SELATAN,3.41,4.18,73.6,68.77,2019,70.72,8.2
KALIMANTAN TIMUR,6.65,5.94,70.12,65.96,2019,76.61,9.7
KALIMANTAN UTARA,5.84,4.49,68.37,65.59,2019,71.15,8.94
SULAWESI UTARA,5.17,6.01,63.7,63.94,2019,72.99,9.43
SULAWESI TENGAH,3.46,3.11,71.2,67.8,2019,69.5,8.75
SULAWESI SELATAN,5.1,4.62,66.27,63.8,2019,71.66,8.26
SULAWESI TENGGARA,2.88,3.52,71.87,69.11,2019,71.2,8.91
GORONTALO,3.25,3.76,72.96,67.38,2019,68.49,7.69
SULAWESI BARAT,1.29,2.98,71.44,69.89,2019,65.73,7.73
MALUKU,6.61,6.69,64.19,63.97,2019,69.45,9.81
MALUKU UTARA,4.96,4.81,65.25,65.05,2019,68.7,9
PAPUA BARAT,5.81,6.43,67.52,67.71,2019,64.7,7.44
PAPUA,3.22,3.51,75.98,76.93,2019,60.84,6.65
INDONESIA,4.98,5.23,69.37,67.53,2019,71.92,8.34
ACEH,5.4,6.59,66.32,65.1,2020,71.99,9.33
SUMATERA UTARA,4.71,6.91,72.17,68.67,2020,71.77,9.54
SUMATERA BARAT,5.25,6.88,72.75,69.01,2020,72.38,8.99
RIAU,4.92,6.32,66.99,65.24,2020,72.71,9.14
JAMBI,4.26,5.13,67.28,67.79,2020,71.29,8.55
SUMATERA SELATAN,3.9,5.51,69.93,68.65,2020,70.01,8.24
BENGKULU,3.08,4.07,73.94,71.73,2020,71.4,8.84
LAMPUNG,4.26,4.67,71.59,70.16,2020,69.69,8.05
KEP. BANGKA BELITUNG,3.35,5.25,69.31,66.89,2020,71.47,8.06
KEP. RIAU,5.98,10.34,67.23,66.28,2020,75.59,10.12
DKI JAKARTA,5.15,10.95,66.97,63.81,2020,80.77,11.13
JAWA BARAT,7.71,10.46,65.89,64.53,2020,72.09,8.55
JAWA TENGAH,4.2,6.48,70.45,69.43,2020,71.87,7.69
DI YOGYAKARTA,3.38,4.57,70.79,71.12,2020,79.97,9.55
JAWA TIMUR,3.6,5.84,71.36,70.33,2020,71.71,7.78
BANTEN,7.99,10.64,63.87,64.48,2020,72.45,8.89
BALI,1.25,5.63,77.03,74.32,2020,75.5,8.95
NUSA TENGGARA BARAT,3.04,4.22,69.54,70.45,2020,68.25,7.31
NUSA TENGGARA TIMUR,2.64,4.28,73.91,73.11,2020,65.19,7.63
KALIMANTAN BARAT,4.47,5.81,70.46,68.83,2020,67.66,7.37
KALIMANTAN TENGAH,3.33,4.58,70.89,68.4,2020,71.05,8.59
KALIMANTAN SELATAN,3.67,4.74,72.49,69.33,2020,70.91,8.29
KALIMANTAN TIMUR,6.72,6.87,71.79,65.5,2020,76.24,9.77
KALIMANTAN UTARA,5.71,4.97,68.1,66.51,2020,70.63,9
SULAWESI UTARA,5.34,7.37,64.49,63.42,2020,72.93,9.49
SULAWESI TENGAH,2.93,3.77,71.28,69.44,2020,69.55,8.83
SULAWESI SELATAN,5.7,6.31,65.4,63.4,2020,71.93,8.38
SULAWESI TENGGARA,3.1,4.58,71.24,69.83,2020,71.45,9.04
GORONTALO,3.29,4.28,67.4,66.46,2020,68.68,7.82
SULAWESI BARAT,2.39,3.32,70.37,70.19,2020,66.11,7.89
MALUKU,6.71,7.57,61.85,65.07,2020,69.49,9.93
MALUKU UTARA,4.09,5.15,64.42,64.28,2020,68.49,9.04
